gene,cds_len,utr_len,cds_fw,cds_te,cds_skew,cds_kurt,utr_fw,utr_te,utr_skew,utr_kurt,gradient_fw,gradient_te,n_cds_windows,n_utr_windows
AMDHD2,1785,264,0.030303,0.00051484,1.2356,1.4984,0.0,0.0,0.6764,-0.6713,-0.030303,-0.00051484,67,6
AMELX,618,217,0.105263,0.00330784,1.9702,3.791,,,,,,,20,0
AMELY,621,0,0.0,0.0,1.256,0.2226,,,,,,,20,0
AMER1,3408,4999,0.015267,0.0004143,0.8053,0.6275,0.046392,0.00060895,0.9542,0.8938,0.031125,0.00019465,132,195
AMER2,2016,8594,0.013333,0.00014948,1.2413,2.2702,0.02071,0.00058324,1.0937,1.6666,0.007377,0.00043376,76,339
AMER3,2586,3630,0.010204,0.00035067,1.1249,1.8522,0.05,0.00092783,1.1909,1.4416,0.039796,0.00057716,99,141
AMFR,1932,1675,0.027778,0.00077444,1.4145,2.9441,0.032787,0.00015201,1.1797,1.2823,0.005009,-0.00062243,73,62
AMH,1683,126,0.032258,0.00107073,1.3356,1.8,,,,,,,63,0
AMHR2,1722,279,0.0,0.0,0.751,-0.1956,0.0,0.0,1.0451,-0.088,0.0,0.0,64,7
AMIGO1,1482,3648,0.037037,0.00196356,1.3458,2.6936,0.021429,0.0003484,1.2478,2.4213,-0.015608,-0.00161516,55,141
AMIGO2,1569,2194,0.0,0.0,1.1575,0.701,0.036585,0.00069744,1.0257,0.7206,0.036585,0.00069744,58,83
AMIGO3,1515,1341,0.0,0.0,0.6297,-0.7603,0.020833,0.00017662,1.3855,1.7081,0.020833,0.00017662,56,49
AMMECR1,1002,4348,0.0,0.0,0.8251,-0.0112,0.029762,0.00036568,1.2246,2.0987,0.029762,0.00036568,35,169
AMMECR1L,1068,3688,0.0,0.0,0.6551,-0.6612,0.049296,0.00094244,1.3534,2.0479,0.049296,0.00094244,38,143
AMN,1362,188,0.0,0.0,0.8,0.0111,,,,,,,50,0
AMN1,777,1175,0.0,0.0,0.222,-0.2689,0.02439,0.00043769,1.7187,3.8735,0.02439,0.00043769,26,42
AMOT,3255,4358,0.016,0.00010396,0.8721,0.5563,0.023669,0.00015826,0.8569,0.0348,0.007669,5.43e-05,126,170
AMOTL1,2871,6109,0.009174,0.0001928,0.8545,0.0793,0.016736,0.00014263,0.8982,0.2492,0.007562,-5.017e-05,110,240
AMOTL2,2514,2007,0.031579,0.00069769,1.8392,4.6718,0.013333,1.159e-05,0.722,-0.2627,-0.018246,-0.0006861,96,76
AMPD1,2244,91,0.011905,5.043e-05,0.8821,0.3993,,,,,,,85,0
AMPD2,2511,619,0.010526,0.00016858,0.8538,0.4304,0.052632,0.00058776,0.4038,-0.5835,0.042106,0.00041918,96,20
AMPD3,2331,1475,0.011364,4.141e-05,1.1889,1.035,0.075472,0.00234657,1.7678,3.0897,0.064108,0.00230516,89,54
AMPH,2610,1146,0.010101,0.00082846,1.4784,4.373,0.1,0.00140771,1.5725,1.7582,0.089899,0.00057925,100,41
AMT,1212,785,0.0,0.0,0.9237,0.0097,0.0,0.0,0.9744,0.409,0.0,0.0,44,27
AMTN,630,379,0.0,0.0,0.3281,-1.0721,0.0,0.0,0.5806,-0.9127,0.0,0.0,21,11
AMY1A,1536,249,0.0,0.0,0.6146,-0.2276,,,,,,,57,0
AMY1B,1536,249,0.0,0.0,0.6146,-0.2276,,,,,,,57,0
AMY1C,1536,292,0.0,0.0,0.6146,-0.2276,0.0,0.0,1.2581,0.1497,0.0,0.0,57,7
AMY2A,1536,48,0.0,0.0,0.6378,-0.3521,,,,,,,57,0
AMY2B,1536,645,0.0,0.0,0.4739,-1.0422,0.0,0.0,0.43,0.0881,0.0,0.0,57,21
AMZ1,1497,4019,0.0,0.0,1.254,0.9591,0.03871,0.00073291,1.3059,1.9054,0.03871,0.00073291,55,156
AMZ2,1083,1567,0.026316,0.00060282,0.6476,0.3341,0.035088,0.0004305,1.3689,1.5153,0.008772,-0.00017232,39,58
ANAPC1,5877,1926,0.0131,0.0001773,0.9957,1.2485,0.0,0.0,1.0039,0.5332,-0.0131,-0.0001773,230,72
ANAPC10,558,1116,0.0,0.0,1.2687,0.7447,0.0,0.0,0.9305,-0.1102,0.0,0.0,18,40
ANAPC11,591,290,0.0,0.0,0.6431,-0.2892,0.0,0.0,-0.1277,-0.8797,0.0,0.0,19,7
ANAPC15,573,234,0.0,0.0,1.8698,2.3823,,,,,,,18,0
ANAPC16,333,3234,0.0,0.0,0.9953,-0.5921,0.008065,0.00022075,0.7989,0.3785,0.008065,0.00022075,9,125
ANAPC2,2535,186,0.020833,0.00014662,0.7362,0.3922,,,,,,,97,0
ANAPC4,2430,169,0.021739,0.00013393,0.8052,0.3538,,,,,,,93,0
ANAPC5,2388,230,0.022222,0.00023571,0.8472,-0.1187,,,,,,,91,0
ANAPC7,1800,759,0.015152,7.084e-05,0.6811,-0.0863,0.0,0.0,0.702,-0.6246,-0.015152,-7.084e-05,67,26
ANG,444,778,0.0,0.0,0.8942,-0.4724,0.038462,0.00051183,1.2485,1.3187,0.038462,0.00051183,13,27
ANGEL1,2172,2057,0.0,0.0,0.4755,-0.3111,0.025974,0.0003551,0.9174,0.2975,0.025974,0.0003551,82,78
ANGEL2,1734,468,0.0,0.0,0.835,-0.0687,0.0,0.0,0.9752,-0.4889,0.0,0.0,65,14
ANGPT1,1497,2733,0.018519,4.585e-05,0.9186,-0.0185,0.0,0.0,0.6766,-0.2242,-0.018519,-4.585e-05,55,105
ANGPT2,1491,3925,0.018519,0.00046481,1.4274,2.0895,0.013245,6.355e-05,1.1065,0.8242,-0.005274,-0.00040126,55,152
ANGPT4,1512,3180,0.0,0.0,0.9725,0.4735,0.02459,0.00062197,1.2822,1.5659,0.02459,0.00062197,56,123
ANGPTL1,1476,2067,0.018868,0.00046291,1.1315,2.0273,0.038961,0.00107411,1.1687,1.6802,0.020093,0.0006112,54,78
ANGPTL2,1482,1961,0.0,0.0,0.7446,-0.0481,0.013699,1.027e-05,0.9871,0.392,0.013699,1.027e-05,55,74
ANGPTL3,1383,1543,0.0,0.0,0.8746,0.4159,0.035714,0.00070831,0.9217,0.7144,0.035714,0.00070831,51,57
ANGPTL4,1221,651,0.0,0.0,0.5409,-0.8559,0.1,0.00113637,1.6903,2.2791,0.1,0.00113637,44,21
ANGPTL5,1167,1201,0.0,0.0,0.5247,-0.6619,0.0,0.0,0.8445,-0.3579,0.0,0.0,42,43
ANGPTL6,1413,372,0.0,0.0,0.7812,0.2289,0.111111,0.00056046,0.4047,-0.5302,0.111111,0.00056046,52,10
ANGPTL7,1041,1183,0.0,0.0,1.3046,0.9302,0.02381,0.00010491,1.0085,0.4987,0.02381,0.00010491,37,43
ANGPTL8,597,275,0.0,0.0,0.9315,0.4699,0.0,0.0,0.1132,-1.5054,0.0,0.0,19,6
ANHX,1452,666,0.019231,0.00103792,1.5561,2.6131,0.0,0.0,0.3585,-0.7951,-0.019231,-0.00103792,53,22
ANK1,5862,511,0.0,0.0,0.9821,0.2663,0.0,0.0,0.7873,-0.6329,0.0,0.0,230,16
ANK2,12552,2346,0.014113,0.0002089,1.2347,1.5354,0.011364,8.231e-05,0.7229,-0.1462,-0.002749,-0.00012659,497,89
ANK3,13134,3885,0.023077,0.00026737,1.0589,0.9428,0.02,5.064e-05,0.8867,0.243,-0.003077,-0.00021673,521,151
ANKAR,4305,216,0.017964,0.00010971,0.7895,-0.1705,,,,,,,168,0
ANKDD1A,1629,296,0.016667,0.00024603,0.9016,0.4809,0.0,0.0,-0.0123,-1.6263,-0.016667,-0.00024603,61,7
ANKDD1B,1722,969,0.031746,0.00021282,0.8439,0.1994,0.030303,0.00114409,1.7692,4.5404,-0.001443,0.00093127,64,34
ANKEF1,2331,3098,0.0,0.0,0.6776,-0.3466,0.042373,0.0010472,1.2952,1.8811,0.042373,0.0010472,89,119
ANKFN1,3891,390,0.0,0.0,0.6294,-0.5522,0.0,0.0,1.2143,-0.0154,0.0,0.0,151,11
ANKFY1,3636,2822,0.014286,0.00020515,1.0313,0.9624,0.009346,0.00045092,1.2033,2.0429,-0.00494,0.00024577,141,108
ANKH,1479,6728,0.0,0.0,0.5033,-0.9439,0.018939,8.245e-05,1.0734,0.8994,0.018939,8.245e-05,55,265
ANKHD1,7677,746,0.019934,0.00038382,1.1205,1.5956,0.041667,0.0007791,1.6953,3.2107,0.021733,0.00039528,302,25
ANKHD1-EIF4EBP3,7854,392,0.019417,0.00037388,1.1203,1.6277,0.0,0.0,1.8471,2.5635,-0.019417,-0.00037388,310,11
ANKIB1,3330,985,0.0,0.0,0.8361,0.1008,0.0,0.0,1.2588,0.8414,0.0,0.0,129,35
ANKK1,2298,255,0.0,0.0,0.6745,-0.3299,0.0,0.0,0.5003,-1.5671,0.0,0.0,87,6
ANKLE1,2010,1208,0.0,0.0,0.7356,-0.2552,0.023256,0.00046744,1.1956,2.0146,0.023256,0.00046744,76,44
ANKLE2,2817,1773,0.0,0.0,0.7048,-0.0651,0.030769,0.00090785,0.9174,0.4119,0.030769,0.00090785,108,66
ANKMY1,3093,312,0.016949,0.00015091,0.8932,0.7191,0.0,0.0,0.7819,-0.1083,-0.016949,-0.00015091,119,8
ANKMY2,1524,1147,0.036364,0.0005482,1.6935,4.4933,0.0,0.0,0.7217,-0.4086,-0.036364,-0.0005482,56,41
ANKRA2,942,1219,0.0,0.0,0.9396,0.0762,0.023256,0.00081024,1.4418,3.0384,0.023256,0.00081024,33,44
ANKRD1,960,830,0.0,0.0,0.4848,-0.6602,0.035714,0.00099999,0.4147,-0.5603,0.035714,0.00099999,34,29
ANKRD10,1311,1216,0.021277,0.00023853,1.2288,1.6851,0.0,0.0,1.1087,0.6746,-0.021277,-0.00023853,48,44
ANKRD11,7992,1235,0.028662,0.00036445,1.1846,1.3326,0.022727,0.00044628,0.93,0.8269,-0.005935,8.183e-05,315,45
ANKRD12,6189,5095,0.03719,0.00054573,1.3267,1.595,0.010101,0.00022074,0.7876,0.9614,-0.027089,-0.00032499,243,199
ANKRD13A,1800,2132,0.030303,0.00036821,0.7495,-0.2216,0.0,0.0,0.8682,0.1063,-0.030303,-0.00036821,67,81
ANKRD13B,1974,1639,0.0,0.0,1.098,0.4761,0.016667,0.00020464,0.9669,0.7116,0.016667,0.00020464,74,61
ANKRD13C,1755,565,0.030769,0.00028625,1.5127,3.0483,0.0,0.0,0.493,-0.7944,-0.030769,-0.00028625,66,18
ANKRD13D,1965,200,0.0,0.0,0.7822,-0.013,,,,,,,74,0
ANKRD16,1260,526,0.022222,3.78e-05,0.9278,0.373,0.066667,0.00137591,1.3286,1.7692,0.044445,0.00133811,46,16
ANKRD17,7812,2985,0.009772,0.00010575,0.9032,0.3585,0.017544,0.00034407,0.7342,0.4725,0.007772,0.00023832,308,115
ANKRD18A,3165,752,0.049587,0.00059,1.0425,0.8737,0.0,0.0,0.2697,-1.1455,-0.049587,-0.00059,122,25
ANKRD18B,3342,818,0.015625,0.00033172,0.9813,1.5181,0.037037,0.00080142,1.2988,1.8252,0.021412,0.0004697,129,28
ANKRD2,1143,451,0.0,0.0,0.7278,-0.183,0.0,0.0,0.4325,-0.6519,0.0,0.0,41,13
ANKRD20A1,3481,496,0.022388,0.00035682,1.1296,1.7508,0.142857,0.00208999,1.1165,0.0746,0.120469,0.00173317,135,15
ANKRD22,576,3282,0.0,0.0,0.1952,-0.8694,0.031746,0.0003917,1.297,1.9947,0.031746,0.0003917,18,127
ANKRD23,927,3317,0.0,0.0,0.6623,-0.2658,0.015748,0.00023494,0.9341,0.5065,0.015748,0.00023494,32,128
ANKRD24,3711,0,0.013986,0.00029675,1.1424,2.0393,,,,,,,144,0
ANKRD26,6219,226,0.016461,0.00016117,0.9691,0.523,,,,,,,244,0
ANKRD27,3282,1417,0.02381,0.0003557,1.1287,1.1348,0.039216,0.0008527,1.2755,1.7083,0.015406,0.000497,127,52
ANKRD28,3252,4492,0.024194,0.00044402,1.2651,2.0452,0.0,0.0,0.7035,-0.4247,-0.024194,-0.00044402,125,175
ANKRD29,906,2481,0.032258,0.00023364,0.5509,-0.3447,0.021277,0.00052409,1.1804,1.1286,-0.010981,0.00029045,32,95
ANKRD30A,4551,470,0.039773,0.00078064,1.1345,1.9319,0.0,0.0,0.6706,-0.5273,-0.039773,-0.00078064,177,14
ANKRD30B,4578,757,0.022472,0.00029154,1.0818,0.7446,0.12,0.00075405,0.9368,0.0292,0.097528,0.00046251,179,26
ANKRD30BL,777,787,0.0,0.0,0.909,0.3378,0.0,0.0,0.7335,0.0026,0.0,0.0,26,27
ANKRD31,5793,414,0.013274,0.00019902,1.1068,1.0448,0.0,0.0,0.5886,-0.9442,-0.013274,-0.00019902,227,12
ANKRD33,1359,506,0.0,0.0,0.588,0.1825,0.0,0.0,0.3474,-0.3314,0.0,0.0,50,16
ANKRD33B,1485,8101,0.0,0.0,0.4977,-0.7267,0.009434,0.00015223,1.1505,1.4368,0.009434,0.00015223,55,319
ANKRD34A,1491,2116,0.0,0.0,0.6469,-0.244,0.037975,0.00055912,1.0391,0.9981,0.037975,0.00055912,55,80
ANKRD34B,1545,2185,0.0,0.0,0.7104,-0.2324,0.0,0.0,0.5335,-0.7755,0.0,0.0,57,83
ANKRD34C,1608,3898,0.016949,0.00012276,1.0537,0.5404,0.013333,0.00025814,1.0299,0.7821,-0.003616,0.00013538,60,151
ANKRD35,3006,353,0.026087,0.00046289,1.0918,1.4949,0.111111,0.00278889,2.1964,3.3455,0.085024,0.002326,116,10
ANKRD36,5748,1875,0.013393,6.191e-05,1.1145,0.8411,0.043478,0.00026949,1.2946,1.2571,0.030085,0.00020758,225,70
ANKRD36B,4062,391,0.012739,0.00018548,1.0094,0.9204,0.0,0.0,2.0677,3.2491,-0.012739,-0.00018548,158,11
ANKRD36C,6360,1141,0.0,0.0,0.928,0.0916,0.0,0.0,0.7519,-0.0959,0.0,0.0,250,41
ANKRD37,477,307,0.0,0.0,-0.1821,-1.3003,0.0,0.0,0.4443,-1.3918,0.0,0.0,14,8
ANKRD39,552,4413,0.0,0.0,0.5937,-1.0628,0.005848,0.00016007,1.1268,1.2102,0.005848,0.00016007,17,172
ANKRD40,1107,3059,0.051282,0.00037962,0.6151,-0.3982,0.025641,0.00047109,1.0556,0.7249,-0.025641,9.147e-05,40,118
ANKRD40CL,444,655,0.0,0.0,-0.0796,0.9891,0.047619,0.00193149,0.8175,-0.2802,0.047619,0.00193149,13,22
ANKRD42,1584,1726,0.034483,0.00043441,1.1124,1.7252,0.0,0.0,0.9924,0.0906,-0.034483,-0.00043441,59,64
ANKRD44,3171,4047,0.033058,0.00036903,1.3956,2.0912,0.019231,0.00047128,1.2335,2.6075,-0.013827,0.00010225,122,157
ANKRD45,801,1859,0.0,0.0,0.449,-0.3769,0.057971,0.00231101,1.6837,2.6917,0.057971,0.00231101,27,70
ANKRD46,699,987,0.0,0.0,0.5984,-0.2617,0.058824,0.0005584,1.107,0.4621,0.058824,0.0005584,23,35
ANKRD49,720,1188,0.043478,4.827e-05,1.0879,0.9022,0.047619,0.00026466,1.1286,0.2046,0.004141,0.00021639,24,43
ANKRD50,4290,4508,0.018072,0.00028374,1.0082,1.1645,0.022857,0.0005824,1.2572,2.1301,0.004785,0.00029866,167,176
ANKRD52,3231,5450,0.0,0.0,0.4846,-0.6396,0.018868,0.00023024,1.2217,1.8173,0.018868,0.00023024,125,213
ANKRD53,1593,215,0.017241,0.00027355,0.9299,0.7246,,,,,,,59,0
ANKRD54,903,1184,0.0,0.0,0.4981,-0.7223,0.047619,0.00047539,1.1683,0.7582,0.047619,0.00047539,32,43
ANKRD55,1845,626,0.029412,0.00058531,1.498,2.2823,0.0,0.0,-0.0075,-0.9958,-0.029412,-0.00058531,69,20
ANKRD6,2301,879,0.023256,9.321e-05,0.979,0.1504,0.066667,0.00075282,1.689,2.5879,0.043411,0.00065961,87,31
ANKRD60,1038,2369,0.027778,0.00019252,0.6997,-0.127,0.022472,3.694e-05,0.6686,-0.4449,-0.005306,-0.00015558,37,90
ANKRD61,1257,166,0.066667,0.00136907,1.0064,0.7017,,,,,,,46,0
ANKRD62,2754,2000,0.009524,0.00030643,1.0925,1.7278,0.027027,0.00038783,1.2189,1.7707,0.017503,8.14e-05,106,75
ANKRD63,1143,3550,0.0,0.0,0.783,-0.481,0.0,0.0,0.8611,0.1984,0.0,0.0,41,137
ANKRD65,1200,824,0.02381,0.00114877,1.6914,3.6669,0.0,0.0,0.0086,-1.0057,-0.02381,-0.00114877,43,28
ANKRD66,591,739,0.0,0.0,0.7056,-0.2418,0.0,0.0,0.6846,-0.9977,0.0,0.0,19,25
ANKRD7,792,450,0.0,0.0,0.7896,-0.1357,0.0,0.0,-0.1335,-1.3858,0.0,0.0,27,13
ANKRD9,954,5751,0.0,0.0,1.1884,0.8746,0.022321,0.00012274,0.9956,0.4703,0.022321,0.00012274,34,225
ANKS1A,3585,2030,0.028986,0.00022482,1.0785,1.0088,0.013158,0.00024055,0.8214,0.3255,-0.015828,1.573e-05,139,77
ANKS1B,3858,2464,0.006711,6.168e-05,0.8783,0.3892,0.032258,0.00025025,1.2162,1.1843,0.025547,0.00018857,150,94
ANKS3,1971,416,0.0,0.0,0.7342,-0.0178,0.090909,0.00422832,1.3512,1.0091,0.090909,0.00422832,74,12
ANKS4B,1254,3069,0.022222,0.00030739,0.9684,1.1791,0.008547,7.975e-05,0.8508,0.2586,-0.013675,-0.00022764,46,118
ANKS6,2616,4574,0.050505,0.00063144,1.474,2.541,0.016949,0.00050951,1.483,3.1441,-0.033556,-0.00012193,100,178
ANKUB1,1635,572,0.016667,0.00018685,1.2647,1.3564,0.0,0.0,0.1413,-1.1823,-0.016667,-0.00018685,61,18
ANKZF1,2217,290,0.0,0.0,0.7772,-0.2414,0.0,0.0,0.4594,-0.8769,0.0,0.0,84,7
ANLN,3483,1379,0.007463,1.286e-05,0.6077,-0.3471,0.0,0.0,0.721,-0.6907,-0.007463,-1.286e-05,135,51
ANO1,3150,1728,0.016667,0.00030332,1.1411,1.4284,0.015625,0.00049009,1.1689,2.0156,-0.001042,0.00018677,121,65
ANO10,2136,714,0.025,0.00030214,1.1284,1.0884,0.0,0.0,0.6757,-0.5654,-0.025,-0.00030214,81,24
ANO2,3012,656,0.008696,3.621e-05,0.7735,0.0841,0.047619,0.00071785,0.4901,-0.4431,0.038923,0.00068164,116,22
ANO3,3129,3179,0.025,0.0001599,0.874,0.194,0.040984,0.00047807,1.4858,2.5307,0.015984,0.00031817,121,123
ANO4,3366,431,0.023256,0.00023372,0.8222,0.1961,0.0,0.0,0.103,-1.5361,-0.023256,-0.00023372,130,13
ANO5,2742,4000,0.019231,0.00032953,1.0907,1.4019,0.025974,0.00019071,0.8539,0.1776,0.006743,-0.00013882,105,155
ANO6,2850,3265,0.046296,0.00025558,0.9,0.2878,0.008,0.0002008,0.8151,1.1378,-0.038296,-5.478e-05,109,126
ANO7,2802,1326,0.009434,5.06e-05,0.5763,-0.4216,0.042553,0.00039551,0.737,-0.2813,0.033119,0.00034491,107,48
ANO8,3699,479,0.014085,4.212e-05,0.8439,0.0654,0.142857,0.00242831,1.378,1.0568,0.128772,0.00238619,143,15
ANO9,2490,506,0.021277,0.00037376,1.2623,1.8564,0.0,0.0,0.1458,-1.1964,-0.021277,-0.00037376,95,16
ANOS1,2043,4222,0.039474,0.00077428,1.1926,2.0203,0.01227,0.00024666,0.943,0.5655,-0.027204,-0.00052762,77,164
ANP32A,1023,341,0.028571,0.00039936,1.2961,3.6102,0.0,0.0,0.0569,-1.6872,-0.028571,-0.00039936,36,9
ANP32B,873,750,0.0,0.0,0.5204,-0.8565,0.041667,0.00075058,1.1642,1.3283,0.041667,0.00075058,30,25
ANP32D,396,668,0.1,0.00133075,0.6652,-0.4322,0.0,0.0,0.6705,-1.1481,-0.1,-0.00133075,11,22
ANP32E,858,2504,0.103448,0.00186296,0.9788,-0.0011,0.052632,0.00094186,1.1228,0.8201,-0.050816,-0.0009211,30,96
ANPEP,2904,939,0.0,0.0,1.0564,0.4511,0.03125,1.186e-05,0.6579,-0.2501,0.03125,1.186e-05,112,33
ANTKMT,744,177,0.0,0.0,0.6081,-0.9101,,,,,,,25,0
ANTXR1,1695,4163,0.016129,0.00010194,0.8026,0.1529,0.018634,0.00037356,1.228,2.1151,0.002505,0.00027162,63,162
ANTXR2,1518,1977,0.0,0.0,0.8341,-0.4446,0.013699,6.158e-05,0.7899,0.1357,0.013699,6.158e-05,56,74
ANTXRL,1896,311,0.0,0.0,0.8297,0.143,0.0,0.0,0.2869,-1.1169,0.0,0.0,71,8
ANXA1,1041,360,0.027778,0.00094515,1.1727,1.0564,0.0,0.0,-0.0425,-1.4834,-0.027778,-0.00094515,37,10
ANXA10,975,466,0.0,0.0,0.3381,-0.4701,0.076923,0.00274477,0.8556,0.4716,0.076923,0.00274477,34,14
ANXA11,1689,676,0.016129,0.00011682,1.3854,1.895,0.0,0.0,1.3616,2.0406,-0.016129,-0.00011682,63,22
ANXA13,1074,514,0.0,0.0,0.4258,-1.1508,0.0,0.0,0.7654,-0.3848,0.0,0.0,38,16
ANXA2,1104,860,0.076923,0.00224364,1.5342,2.3759,0.0,0.0,0.4766,-0.6553,-0.076923,-0.00224364,40,30
ANXA2R,582,367,0.055556,2.426e-05,0.8097,-0.2224,0.0,0.0,0.9138,-0.9249,-0.055556,-2.426e-05,19,10
ANXA3,1065,435,0.054054,0.00052159,1.7288,2.6599,0.0,0.0,0.4723,-0.5842,-0.054054,-0.00052159,38,13
ANXA4,1053,1038,0.0,0.0,0.6537,0.2161,0.027778,0.0002553,0.7288,-0.0796,0.027778,0.0002553,38,37
ANXA5,1068,613,0.0,0.0,0.6207,-0.4952,0.052632,5.712e-05,0.4965,-0.8123,0.052632,5.712e-05,38,20
ANXA6,2118,479,0.0,0.0,0.6684,-0.5611,0.0,0.0,0.0025,-0.8689,0.0,0.0,80,15
ANXA7,1491,664,0.0,0.0,0.835,-0.0852,0.0,0.0,0.1845,-1.0008,0.0,0.0,55,22
ANXA8,1098,1076,0.026316,0.00116526,1.5907,3.9252,0.0,0.0,0.4012,-0.8557,-0.026316,-0.00116526,39,38
ANXA8L1,1098,1076,0.026316,0.00116526,1.4443,2.557,0.0,0.0,0.7662,-0.1882,-0.026316,-0.00116526,39,38
ANXA9,1038,513,0.027778,0.00020119,1.2244,2.3386,0.0,0.0,0.1607,-1.3817,-0.027778,-0.00020119,37,16
AOAH,2067,4025,0.012987,5.67e-06,0.7745,0.6497,0.019355,0.00068853,1.5185,3.8842,0.006368,0.00068286,78,156
AOC1,2313,140,0.011494,0.0002733,0.9813,0.5134,,,,,,,88,0
AOC2,2271,406,0.0,0.0,0.7266,-0.2736,0.0,0.0,-0.0497,-1.4785,0.0,0.0,86,12
AOC3,2292,1719,0.046512,0.00058686,1.3713,1.5238,0.015873,5.573e-05,1.0108,1.6393,-0.030639,-0.00053113,87,64
AOPEP,2460,670,0.010753,0.0001232,0.9206,0.7144,0.0,0.0,0.1569,-0.8797,-0.010753,-0.0001232,94,22
AOX1,4095,910,0.018987,0.00011906,0.989,0.8957,0.0,0.0,0.2301,-1.0212,-0.018987,-0.00011906,159,32
AP1AR,930,2002,0.03125,0.0002386,0.7306,-0.2304,0.040541,0.00051039,1.1413,0.672,0.009291,0.00027179,33,75
AP1B1,3030,1295,0.025862,0.0002233,0.8473,0.5728,0.0,0.0,1.0043,0.2668,-0.025862,-0.0002233,117,47
AP1G1,2478,1115,0.021277,0.00030331,1.0672,0.9759,0.0,0.0,0.6222,-0.5908,-0.021277,-0.00030331,95,40
AP1G2,2424,219,0.021978,0.00026762,0.9229,-0.2528,,,,,,,92,0
AP1M1,1395,1019,0.02,2e-06,0.8453,0.2679,0.0,0.0,0.2294,-1.2351,-0.02,-2e-06,51,36
AP1M2,1278,479,0.0,0.0,1.1045,0.6747,0.142857,0.00443511,1.0121,-0.1153,0.142857,0.00443511,47,15
AP1S1,574,0,0.0,0.0,0.7828,-0.0427,,,,,,,18,0
AP1S2,483,1645,0.0,0.0,-0.3491,-0.5447,0.033333,0.00066842,1.7526,4.4718,0.033333,0.00066842,15,61
AP1S3,495,1290,0.0,0.0,1.1923,1.143,0.086957,0.00279065,1.3417,1.0733,0.086957,0.00279065,15,47
AP2A1,3009,497,0.026087,0.00015492,1.0631,0.9436,0.0,0.0,-0.0195,-1.347,-0.026087,-0.00015492,116,15
AP2A2,3015,1766,0.026087,0.00022343,0.9075,0.0343,0.030769,0.00120214,1.5528,3.7041,0.004682,0.00097871,116,66
AP2B1,2910,986,0.009009,6.525e-05,0.8664,0.0091,0.029412,0.00080508,1.3684,1.6849,0.020403,0.00073983,112,35
AP2M1,1389,639,0.0,0.0,0.8551,0.0289,0.1,0.00342987,2.1213,3.5829,0.1,0.00342987,51,21
AP2S1,546,379,0.0,0.0,0.4149,-1.3065,0.0,0.0,0.5992,-0.787,0.0,0.0,17,11
AP3B1,3285,695,0.015873,0.00018088,0.6675,-0.0859,0.0,0.0,0.2485,-0.9936,-0.015873,-0.00018088,127,23
AP3B2,3393,321,0.015385,0.00023424,0.7732,0.2531,0.0,0.0,0.7667,-0.924,-0.015385,-0.00023424,131,8
AP3D1,3729,1402,0.041667,0.00076705,1.3459,2.928,0.0,0.0,1.1791,0.7924,-0.041667,-0.00076705,145,51
AP3M1,1257,3632,0.0,0.0,0.6072,-0.4588,0.007143,6.565e-05,0.8819,0.7584,0.007143,6.565e-05,46,141
AP3M2,1257,2412,0.022222,9.403e-05,1.1582,1.5265,0.032967,0.00116103,1.4351,2.6526,0.010745,0.001067,46,92
AP3S1,732,664,0.208333,0.00360205,0.7425,-0.9604,0.0,0.0,0.8885,-0.1914,-0.208333,-0.00360205,25,22
AP3S2,720,1243,0.043478,4.35e-06,0.528,-0.7026,0.022727,2.27e-06,0.9878,0.3109,-0.020751,-2.08e-06,24,45
AP4B1,2346,256,0.011364,1.466e-05,0.8073,0.2328,0.0,0.0,0.8779,-0.6364,-0.011364,-1.466e-05,89,6
AP4E1,3414,3329,0.015267,7.12e-05,0.8631,0.4697,0.0,0.0,0.6463,-0.5644,-0.015267,-7.12e-05,132,129
AP4M1,1383,453,0.04,0.00036468,1.032,1.1604,0.0,0.0,0.2833,-0.6726,-0.04,-0.00036468,51,14
AP4S1,522,980,0.0,0.0,-0.2849,-1.1048,0.029412,0.00046203,1.2333,1.6132,0.029412,0.00046203,16,35
AP5B1,2637,4343,0.01,0.00045758,1.6317,4.1407,0.017857,0.00013889,1.1739,1.509,0.007857,-0.00031869,101,169
AP5M1,1515,300,0.0,0.0,0.7386,0.2415,0.0,0.0,1.1071,-0.2375,0.0,0.0,56,7
AP5S1,603,1005,0.0,0.0,0.4214,-1.276,0.0,0.0,0.8825,0.251,0.0,0.0,20,36
AP5Z1,2499,457,0.021277,0.00043652,1.212,1.9526,0.0,0.0,0.6289,-0.7864,-0.021277,-0.00043652,95,14
APAF1,3747,3522,0.020833,0.00054093,1.1731,1.9213,0.022222,0.00027501,1.0116,0.6682,0.001389,-0.00026592,145,136
APBA1,2514,4083,0.010526,9.026e-05,1.31,2.4304,0.006329,0.00021687,1.0705,1.8073,-0.004197,0.00012661,96,159
APBA2,2406,944,0.032967,0.00077716,1.0875,0.7403,0.0,0.0,0.8141,-0.2416,-0.032967,-0.00077716,92,33
APBA3,1776,262,0.015385,0.00023131,1.1386,1.8915,0.0,0.0,-0.1576,-1.6661,-0.015385,-0.00023131,66,6
APBB1,2184,549,0.012195,0.00011208,1.157,1.0615,0.125,0.00153398,0.9655,0.2719,0.112805,0.0014219,83,17
APBB1IP,2001,632,0.027027,0.00010222,0.8793,0.1717,0.0,0.0,0.5925,-0.9799,-0.027027,-0.00010222,75,21
